tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1318049;El coste oculto;El cost amagat;2023;9/12/2023;9/12/2023;ES;Ecomuseu de les Valls d'Àneu;Un documental que recoge los impactos que la transición verde europea está teniendo en países como Chile y Argentina. Una invitación a escuchar los testimonios de quien padece este impacto pero sobre ;2855;0;0
1198713;Una edad difícil;Una edad difícil;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Un fugitivo intenta enterrar un bolso en una es-cuela abandonada. No lo logra porque le disparan desde algún lugar cercano. Saca su revólver y devuelve el fuego.;2818;0;0
1196832;La próxima película de Carmen Trevilla;La próxima película de Carmen Trevilla;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Iván es un productor de cine español que viaja a Argentina con una sola misión: encontrarse con Carmen Trevilla, una directora de culto que está en pleno proceso creativo de su nuevo “video”. Desde el;2796;78;4
1101443;El Dance Off;El Dance Off;2023;21/7/2023;21/7/2023;US;Outfest LA Film Festival;;2786;0;0
1211207;Sucesos violentos en el baño de un recital;Sucesos violentos en el baño de un recital;2023;30/11/2023;30/11/2023;AR;Festival Buenos Aires Rojo Sangre;;2771;0;0
1029724;My Pana;My Pana;2023;18/3/2023;18/3/2023;GB;BFI Flare;;2742;2;1
1375051;Antes que más grande;Antes que más grande;2023;30/9/2023;30/9/2023;AR;Festival Clave 13/17;Fran es un niño apasionado por el skate, quien parece tener una pequeña preocupación por llegar a cierta edad: “Para mí a los trece años empieza la edad difícil. A mi primo y a mi hermano les pasó. Te;2712;0;0
1360191;Brujas, ellas cruzarán el umbral;Brujas, ellas cruzarán el umbral;2023;28/11/2023;28/11/2023;AR;Buenos Aires Rojo Sangre;Un grupo de adolescentes se reúnen en una noche y comienzan a contar leyendas sobre brujas de diferentes países, pero en el transcurso, algo inesperado sucederá que cambiará sus vidas para siempre.;2696;0;0
1239244;Drown the Name;Drown the Name;2023;12/5/2023;12/5/2023;GR;Athens Digital Arts Festival;;2673;6;1
1196306;El empresario;El empresario;2023;9/11/2023;9/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Argentina, 1976. En un operativo militar es liberado un empresario al mismo tiempo que es “desaparecido” el guerrillero que lo tenía secuestrado. Cuarenta años más tarde, Germán Scelso (realizador e h;2658;10;1
1197791;OUROBOROS: Un retrato imaginario de Marcelo Fox;OUROBOROS: Un retrato imaginario de Marcelo Fox;2023;25/10/2023;25/10/2023;AR;14° Festival REC- Festival de Estudiantes de Artes Audiovisuales de Universidades Públicas;En Buenos Aires, en la década de los 1960's, un poeta maldito desarrolla una corrosiva obra performática y recibe una condena social. Años más tarde, la violencia presente en sus escritos se hace carn;2621;10;1
1152578;Sobre nadar;Sobre nadar;2023;15/6/2023;15/6/2023;US;Philadelphia Latino Film Festival;Dominique es nadadora profesional de aguas abiertas. Está por cumplir su sueño de participar en los juegos olímpicos cuando queda embarazada. Ella deberá elegir entre su deseo, el mandato, y las presi;2509;5;1
1244226;La Primera Vigilia;La Primera Vigilia;2023;9/9/2023;9/9/2023;UY;Montevideo Fantastico;                                                                                                    ;2473;0;0
954857;Detrás de los Objetos;Detrás de los Objetos;2023;27/7/2023;27/7/2023;AR;Dento del marco del Festival Internacional de Cine de la UBA;;2441;10;1
1155525;Javier Milei: la revolución liberal;Javier Milei: la revolución liberal;2023;10/7/2023;10/7/2023;AR;Buenos Aires;Un retrato del político libertario argentino Javier Milei.;2441;37;6
