tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1143343,"¡Oh, por Lenin!","¡Oh, por Lenin!",2023,2023-06-22,2023-06-22,AR,,"El documental relata a través de la vida de Fray Antonio Puigjané, sacerdote franciscano, un período histórico de la vida social y política de Argentina en la que los caminos del Cristianismo y de la ",0.1525,0,0,missing,,,,No encontrada en CineNacional
1143333,"Ricardo Vilca: Quebrada, música y silencio","Ricardo Vilca: Quebrada, música y silencio",2023,2023-06-22,2023-06-22,AR,,El film descubre el universo particular de un músico que interpretó magistralmente silencio y sonidos de la Quebrada: Ricardo Vilca.,0.1435,0,0,exists_by_tmdb,189661,"Ricardo Vilca. Quebrada, música y silencio",2020,Match por tmdb_id
1231130,Ayer en el espejo,Ayer en el espejo,2023,2023-06-21,2023-06-21,AR,,,0,0,0,missing,,,,No encontrada en CineNacional
1143786,Inseparables,Inseparables,2023,2023-06-21,2023-06-21,AR,,"Manuel decide acabar con su vida después de que su mejor amigo, Martín, del que estaba enamorado, muriera en un accidente de coche. Antes de su suicidio, Manuel recuerda algunos momentos que tuvo con ",0.1644,7,1,missing,,,,No encontrada en CineNacional
1142070,Pastel de papas,Pastel de papas,2023,2023-06-21,2023-06-21,AR,,"Una noche especial. Romance, ladrones, policías y alguien al borde de la muerte.",0.1794,0,0,missing,,,,No encontrada en CineNacional
810351,Pornomelancolía,Pornomelancolía,2023,2023-06-21,2022-02-10,IS,Rekjavik International Film festival,"Lalo es un influencer sexual: cuelga fotos de su cuerpo desnudo y vídeos porno caseros para sus miles de seguidores en las redes sociales. Lalo dirige su propia vida, pero en privado, cuando está fuer",1.2595,5.958,12,exists_by_tmdb,162614,Pornomelancolía,2022,Match por tmdb_id
1456012,You Ass for It,You Ass for It,2023,2023-06-19,2023-06-19,US,,,0,0,0,missing,,,,No encontrada en CineNacional
1118018,El cine es nuestro,El cine es nuestro,2023,2023-06-19,2023-06-19,CO,,,0.1927,10,1,missing,,,,No encontrada en CineNacional
1141696,Alta en el cielo,Alta en el cielo,2023,2023-06-18,2023-06-18,US,,"Alta En El Cielo, una historia cautivadora que te lleva al corazón del campamento de la selección argentina de La Albiceleste. Sea testigo de los increíbles momentos desde que agregaron una tercera es",0.1461,10,1,missing,,,,No encontrada en CineNacional
1141988,BUNS (Buscando Una Nueva Sensación),BUNS,2023,2023-06-17,2023-06-17,AR,,"Buscando una nueva sensación!  Corto-documental que retrata los shows y detrás de escenario de Winona Riders, desde el icónico Niceto Bar hasta Complejo Art Media junto a The Brian Jonestown Massacre.",0.158,0,0,missing,,,,No encontrada en CineNacional
1141453,video diario,video diario,2023,2023-06-17,2023-06-17,AR,,,0.1818,10,1,missing,,,,No encontrada en CineNacional
1140956,En las fauces del lobo,En las fauces del lobo,2023,2023-06-17,2023-06-17,AR,,Una periodista ingresa a una casa abandona tras los rastros de un asesino en serie. Su búsqueda de la verdad podría tener consecuencias fatales. La curiosidad trae consigo un alto precio.,0.128,10,1,missing,,,,No encontrada en CineNacional
1447545,I Give You My Hard,I Give You My Hard,2023,2023-06-16,2023-06-16,US,,,0,0,0,missing,,,,No encontrada en CineNacional
1167648,Best of IoMacho 31,Best of IoMacho 31,2023,2023-06-16,2023-06-16,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
